Tanggal,BI-7Day-RR
17 Maret 2026,4.75%
19 Februari 2026,4.75%
21 Januari 2026,4.75%
17 Desember 2025,4.75%
19-Nov-25,4.75%
22 Oktober 2025,4.75%
17-Sep-25,4.75%
20 Agustus 2025,5.00%
16 Juli 2025,5.25%
18 Juni 2025,5.50%
21 Mei 2025,5.50%
23-Apr-25,5.75%
19 Maret 2025,5.75%
19 Februari 2025,5.75%
15 Januari 2025,5.75%
18 Desember 2024,6.00%
20-Nov-24,6.00%
16 Oktober 2024,6.00%
18-Sep-24,6.00%
21 Agustus 2024,6.25%
17 Juli 2024,6.25%
20 Juni 2024,6.25%
22 Mei 2024,6.25%
24-Apr-24,6.25%
20 Maret 2024,6.00%
21 Februari 2024,6.00%
17 Januari 2024,6.00%
21 Desember 2023,6.00%
23-Nov-23,6.00%
19 Oktober 2023,6.00%
21-Sep-23,5.75%
24 Agustus 2023,5.75%
25 Juli 2023,5.75%
22 Juni 2023,5.75%
25 Mei 2023,5.75%
18-Apr-23,5.75%
16 Maret 2023,5.75%
16 Februari 2023,5.75%
19 Januari 2023,5.75%
22 Desember 2022,5.50%
17-Nov-22,5.25%
20 Oktober 2022,4.75%
22-Sep-22,4.25%
23 Agustus 2022,3.75%
21 Juli 2022,3.50%
23 Juni 2022,3.50%
24 Mei 2022,3.50%
19-Apr-22,3.50%
17 Maret 2022,3.50%
10 Februari 2022,3.50%
20 Januari 2022,3.50%
16 Desember 2021,3.50%
18-Nov-21,3.50%
19 Oktober 2021,3.50%
21-Sep-21,3.50%
19 Agustus 2021,3.50%
22 Juli 2021,3.50%
17 Juni 2021,3.50%
25 Mei 2021,3.50%
20-Apr-21,3.50%
18 Maret 2021,3.50%
18 Februari 2021,3.50%
21 Januari 2021,3.75%
17 Desember 2020,3.75%
19-Nov-20,3.75%
13 Oktober 2020,4.00%
17-Sep-20,4.00%
19 Agustus 2020,4.00%
16 Juli 2020,4.00%
18 Juni 2020,4.25%
19 Mei 2020,4.50%
14-Apr-20,4.50%
19 Maret 2020,4.50%
20 Februari 2020,4.75%
23 Januari 2020,5.00%
19 Desember 2019,5.00%
21-Nov-19,5.00%
24 Oktober 2019,5.00%
19-Sep-19,5.25%
22 Agustus 2019,5.50%
18 Juli 2019,5.75%
20 Juni 2019,6.00%
16 Mei 2019,6.00%
25-Apr-19,6.00%
21 Maret 2019,6.00%
21 Februari 2019,6.00%
17 Januari 2019,6.00%
20 Desember 2018,6.00%
15-Nov-18,6.00%
23 Oktober 2018,5.75%
27-Sep-18,5.75%
15 Agustus 2018,5.50%
19 Juli 2018,5.25%
29 Juni 2018,5.25%
30 Mei 2018,4.75%
17 Mei 2018,4.50%
19-Apr-18,4.25%
22 Maret 2018,4.25%
15 Februari 2018,4.25%
18 Januari 2018,4.25%
14 Desember 2017,4.25%
16-Nov-17,4.25%
19 Oktober 2017,4.25%
22-Sep-17,4.25%
22 Agustus 2017,4.50%
20 Juli 2017,4.75%
15 Juni 2017,4.75%
18 Mei 2017,4.75%
20-Apr-17,4.75%
16 Maret 2017,4.75%
16 Februari 2017,4.75%
19 Januari 2017,4.75%
15 Desember 2016,4.75%
17-Nov-16,4.75%
20 Oktober 2016,4.75%
22-Sep-16,5.00%
19 Agustus 2016,5.25%
21 Juli 2016,5.25%
16 Juni 2016,5.25%
19 Mei 2016,5.50%
21-Apr-16,5.50%
